City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind,Country,Date
havelock,34.8791,-76.9013,39.99,100,90,16.11,US,1613183036
yellowknife,62.456,-114.3525,-18.0,83,1,4.61,CA,1613183036
leshukonskoye,64.8989,45.7622,-14.1,90,1,2.57,RU,1613183037
huarmey,-10.0681,-78.1522,73.09,72,87,7.31,PE,1613183037
carnarvon,-24.8667,113.6333,86.0,79,90,11.5,AU,1613183037
cairns,-16.9167,145.7667,88.0,70,90,5.75,AU,1613182739
nizwa,22.9333,57.5333,56.44,61,0,1.83,OM,1613183038
mahebourg,-20.4081,57.7,78.8,78,40,11.5,MU,1613183039
sabang,5.8933,95.3214,82.99,76,27,13.78,ID,1613183039
hovd,48.0056,91.6419,5.61,91,0,2.1,MN,1613183039
bredasdorp,-34.5322,20.0403,69.8,83,0,4.61,ZA,1613183039
watford,51.6553,-0.396,27.0,74,43,14.97,GB,1613183039
plettenberg bay,-34.0527,23.3716,71.51,94,75,2.93,ZA,1613183039
khandyga,62.6667,135.6,7.48,90,68,2.15,RU,1613182940
ixtapa,20.7,-105.2,69.8,78,75,5.75,MX,1613182909
abhar,36.1468,49.218,37.94,66,2,2.84,IR,1613183039
vostok,46.4856,135.8833,27.61,96,100,5.26,RU,1613183039
wanxian,30.8039,108.3897,63.54,52,1,2.51,CN,1613183040
east london,-33.0153,27.9116,75.52,81,12,9.33,ZA,1613183040
verkhoyansk,67.5447,133.385,-12.14,85,0,1.79,RU,1613183040
biltine,14.5333,20.9167,70.03,23,0,12.06,TD,1613183040
lebu,-37.6167,-73.65,57.92,84,0,14.74,CL,1613183040
port elizabeth,-33.918,25.5701,75.2,94,90,12.66,ZA,1613183040
vestmannaeyjar,63.4427,-20.2734,41.67,89,100,47.58,IS,1613183040
bengkulu,-3.8004,102.2655,83.95,67,56,2.19,ID,1613183040
ojinaga,29.5667,-104.4167,51.8,50,1,14.97,MX,1613182746
murgab,37.4966,61.9714,39.2,81,0,4.61,TM,1613183041
zomin,39.9606,68.3958,49.62,46,83,3.94,UZ,1613183041
hithadhoo,-0.6,73.0833,82.31,73,97,11.41,MV,1613183041
minot,48.2325,-101.2963,-15.0,69,1,9.22,US,1613183007
aklavik,68.2191,-135.0107,1.4,78,77,3.44,CA,1613183041
barrow,71.2906,-156.7887,-9.4,70,90,6.91,US,1613182767
namatanai,-3.6667,152.4333,84.81,71,69,6.78,PG,1613183042
chokurdakh,70.6333,147.9167,-21.6,72,0,3.83,RU,1613183042
paamiut,61.994,-49.6678,24.96,91,100,18.81,GL,1613183043
jawhar,2.7809,45.5005,69.62,88,3,8.52,SO,1613183043
husavik,66.0449,-17.3389,39.2,56,20,4.61,IS,1613183043
khatanga,71.9667,102.5,-26.37,86,100,8.12,RU,1613183043
ardakan,32.31,54.0175,44.6,33,0,6.91,IR,1613183043
eureka,40.8021,-124.1637,51.01,98,100,6.49,US,1613182984
rocha,-34.4833,-54.3333,68.32,95,100,6.71,UY,1613183044
port blair,11.6667,92.75,80.38,71,100,10.13,IN,1613183044
upernavik,72.7868,-56.1549,-2.94,81,0,9.06,GL,1613183044
verkhnevilyuysk,63.4453,120.3167,-14.48,88,100,6.26,RU,1613183044
meulaboh,4.1363,96.1285,81.81,74,6,2.91,ID,1613183044
atuona,-9.8,-139.0333,78.93,79,1,15.77,PF,1613183044
loei,17.4167,101.5,75.0,78,49,3.15,TH,1613183044
topolobampo,25.6,-109.05,66.2,63,40,4.61,MX,1613183044
envira,-7.3,-70.2167,73.47,94,100,0.78,BR,1613183045
leningradskiy,69.3833,178.4167,-18.13,84,100,7.9,RU,1613183045
jamestown,42.097,-79.2353,15.8,67,1,6.91,US,1613183045
maarianhamina,60.0973,19.9348,28.4,74,0,12.66,AX,1613183045
amapa,1.0,-52.0,73.44,98,100,3.11,BR,1613183045
zhuhai,22.2769,113.5678,71.01,68,20,8.05,CN,1613183045
xinzhou,38.4092,112.7333,43.74,55,100,2.24,CN,1613183045
solano,38.2333,-121.9511,57.2,76,1,11.5,US,1613183045
hurghada,27.2574,33.8129,60.8,48,0,8.05,EG,1613183046
general cepeda,25.3833,-101.45,41.0,93,90,7.2,MX,1613183046
kutum,14.2,24.6667,59.83,34,79,10.2,SD,1613183046
deputatskiy,69.3,139.9,-16.13,90,100,3.13,RU,1613183046
tessalit,20.1986,1.0114,69.06,20,0,12.55,ML,1613183046
watertown,42.3709,-71.1828,24.8,42,90,4.61,US,1613183046
mayskiy,47.6931,40.1025,19.4,79,75,22.37,RU,1613183046
salalah,17.0151,54.0924,66.2,45,0,2.3,OM,1613183046
mayo,38.8876,-76.5119,30.99,64,90,3.44,US,1613183046
sinnamary,5.3833,-52.95,78.31,87,98,14.83,GF,1613183047
te anau,-45.4167,167.7167,68.61,38,82,6.58,NZ,1613183047
clyde river,70.4692,-68.5914,-2.2,92,100,27.63,CA,1613183047
new norfolk,-42.7826,147.0587,66.2,55,40,13.8,AU,1613183047
kota belud,6.351,116.4305,82.4,74,20,9.22,MY,1613183047
souillac,-20.5167,57.5167,78.8,78,40,11.5,MU,1613183047
eganville,45.5334,-77.0994,0.0,50,1,4.21,CA,1613183047
koungou,-12.7336,45.2042,82.4,69,75,14.97,YT,1613183047
kajaani,64.2273,27.7285,6.8,85,0,2.3,FI,1613183047
mar del plata,-38.0023,-57.5575,69.01,100,90,13.8,AR,1613183047
rudnogorsk,57.2639,103.7519,-9.96,91,100,6.17,RU,1613183048
haines junction,60.7522,-137.5108,-14.8,76,0,1.14,CA,1613183048
svetlogorsk,52.6333,29.7333,8.26,95,100,18.03,BY,1613183048
saravan,39.7196,45.6483,37.4,75,40,6.91,AM,1613183048
ishikari,43.2397,141.3539,35.6,75,75,9.22,JP,1613183048
rio gallegos,-51.6226,-69.2181,55.4,44,0,6.91,AR,1613182883
nemuro,43.3236,145.575,32.0,69,0,9.22,JP,1613183048
urusha,54.05,122.9,-2.45,90,100,5.82,RU,1613183048
shellbrook,53.2168,-106.4011,-25.6,68,1,2.01,CA,1613183048
nikolskoye,59.7035,30.7861,1.0,84,75,4.47,RU,1613183049
butaritari,3.0707,172.7902,81.34,83,0,12.75,KI,1613183049
lastoursville,-0.8143,12.7287,73.65,91,1,2.55,GA,1613183049
tasiilaq,65.6145,-37.6368,32.0,69,90,39.12,GL,1613183049
gombe,10.2897,11.1673,65.59,26,0,5.84,NG,1613183049
corn island,12.1694,-83.0418,79.3,76,82,13.56,NI,1613183049
beyneu,45.3167,55.2,35.71,87,89,17.27,KZ,1613183049
hobyo,5.3505,48.5268,74.75,77,74,14.25,SO,1613183049
ahmadnagar,19.0833,74.7333,65.62,37,0,6.02,IN,1613183050
san patricio,28.017,-97.5169,36.0,93,90,16.11,US,1613183050
koumac,-20.5667,164.2833,83.73,60,5,6.31,NC,1613183050
vikhorevka,56.1201,101.1636,-14.01,76,100,4.47,RU,1613183050
aykhal,66.0,111.5,-21.01,78,92,2.55,RU,1613183050
alofi,-19.0595,-169.9187,84.2,74,88,10.36,NU,1613183050
grenville,12.1167,-61.6167,78.8,78,75,17.27,GD,1613183050
aktau,43.65,51.2,41.0,81,0,11.18,KZ,1613183050
boissevain,49.2306,-100.0559,-25.01,68,1,9.22,CA,1613183050
porto novo,6.4965,2.6036,84.2,89,40,10.36,BJ,1613183051
farah,32.5,62.5,48.38,45,0,1.05,AF,1613183051
moose factory,51.2585,-80.6094,-11.2,77,1,6.91,CA,1613183051
krasnogorskoye,52.2953,86.1979,-14.37,88,0,2.17,RU,1613182811
atherton,53.5237,-2.4935,30.0,52,94,8.99,GB,1613183051
tommot,58.9564,126.2925,-8.59,86,100,8.95,RU,1613183051
rio grande,-32.035,-52.0986,69.01,94,100,1.01,BR,1613183035
kruisfontein,-34.0033,24.7314,73.0,92,100,1.01,ZA,1613183051
hervey bay,-25.2986,152.8535,84.99,51,9,10.36,AU,1613183052
autazes,-3.5797,-59.1306,76.24,94,87,1.23,BR,1613183053
airai,-8.9266,125.4092,72.64,86,82,2.62,TL,1613183054
russell,32.3502,-85.1999,51.8,87,90,5.75,US,1613183054
stornoway,58.2093,-6.3865,35.6,60,100,18.41,GB,1613183054
saint-augustin,51.226,-58.6502,14.13,92,2,12.64,CA,1613183054
baker city,44.7749,-117.8344,21.2,73,90,3.44,US,1613182823
bonavista,48.6499,-53.1147,30.99,93,100,9.22,CA,1613183054
luderitz,-26.6481,15.1594,63.0,87,26,6.98,NA,1613183054
nanortalik,60.1432,-45.2371,36.59,76,100,12.08,GL,1613183054
ilulissat,69.2167,-51.1,8.6,78,75,4.47,GL,1613183054
tuktoyaktuk,69.4541,-133.0374,-7.6,77,75,4.61,CA,1613183055
berlevag,70.8578,29.0864,17.71,92,45,9.93,NO,1613183055
palembang,-2.9167,104.7458,78.8,94,40,6.91,ID,1613183055
saldanha,-33.0117,17.9442,62.6,88,0,3.44,ZA,1613183055
hami,42.8,93.45,34.77,76,0,3.42,CN,1613183055
taurianova,38.3563,16.0109,57.0,97,100,5.53,IT,1613183055
lavrentiya,65.5833,-171.0,-5.64,90,100,18.16,RU,1613183055
san cristobal,7.7669,-72.225,66.87,74,53,1.07,VE,1613182912
manakara,-22.1333,48.0167,72.66,92,100,2.98,MG,1613183056
tengelic,46.5288,18.7112,20.17,84,0,11.54,HU,1613183057
pisco,-13.7,-76.2167,71.6,78,0,14.97,PE,1613183057
puerto gaitan,4.3133,-72.0816,85.73,42,89,8.9,CO,1613183057
khilok,51.3674,110.4676,-5.82,85,37,9.66,RU,1613183057
hasaki,35.7333,140.8333,59.0,54,20,2.3,JP,1613183057
yatou,37.15,122.3833,51.51,57,0,6.62,CN,1613183057
urengoy,65.9667,78.3667,-31.95,82,100,3.96,RU,1613183057
sioux lookout,50.1001,-91.917,-23.8,76,75,2.3,CA,1613183059
victoria,22.2855,114.1577,68.0,79,78,1.01,HK,1613182791
kaitangata,-46.2817,169.8464,64.99,73,76,7.0,NZ,1613183059
comodoro rivadavia,-45.8667,-67.5,62.6,88,75,8.05,AR,1613183059
impfondo,1.6381,18.0667,75.78,65,85,1.83,CG,1613183059
fort frances,48.5999,-93.4003,-16.01,76,40,3.71,CA,1613183059
berdigestyakh,62.0989,126.6992,-7.87,90,100,6.22,RU,1613183059
zhigansk,66.7697,123.3711,-8.36,90,100,11.77,RU,1613183059
mazatlan,23.2167,-106.4167,69.01,77,1,6.91,MX,1613182942
hanyang,32.1371,105.5126,51.64,55,99,10.47,CN,1613183060
nyurba,63.2842,118.3319,-13.95,87,98,5.46,RU,1613183060
kavieng,-2.5744,150.7967,84.43,74,24,8.97,PG,1613183061
bobcaygeon,44.5462,-78.542,7.0,72,75,2.95,CA,1613183061
khandbari,27.3747,87.2039,58.46,50,15,1.81,NP,1613183062
kichmengskiy gorodok,59.9816,45.7854,-3.87,90,100,8.95,RU,1613183062
praia da vitoria,38.7333,-27.0667,60.8,72,40,29.28,PT,1613183062
pevek,69.7008,170.3133,-19.14,89,100,7.07,RU,1613183063
ambilobe,-13.2,49.05,72.9,94,92,2.73,MG,1613183063
saskylakh,71.9167,114.0833,-28.59,82,74,1.99,RU,1613183063
shabrovskiy,56.636,60.5807,5.0,85,75,8.95,RU,1613183063
lagoa,39.05,-27.9833,59.16,81,100,26.06,PT,1613183064
nova londrina,-22.7658,-52.985,69.53,90,0,5.32,BR,1613183064
cabo san lucas,22.8909,-109.9124,64.4,77,1,14.97,MX,1613182783
boyolangu,-8.1181,111.8935,81.32,75,100,2.66,ID,1613182977
davila,18.4726,120.5763,80.6,61,20,2.3,PH,1613183064
toowoomba,-27.55,151.9667,91.4,35,75,18.41,AU,1613183064
iranduba,-3.2847,-60.1861,77.0,94,0,2.3,BR,1613183064
sur,22.5667,59.5289,66.54,58,0,2.19,OM,1613183065
la rochelle,46.1667,-1.15,28.4,80,0,4.61,FR,1613183065
khani,41.9563,42.9566,41.0,100,90,13.8,GE,1613183065
batagay-alyta,67.8006,130.4114,-5.19,80,0,1.66,RU,1613183065
bac lieu,9.285,105.7244,76.46,74,94,11.56,VN,1613183065
dwarka,22.2394,68.9678,68.54,72,0,8.23,IN,1613183065
siauliai,55.9333,23.3167,19.4,93,90,9.22,LT,1613183065
tangshan,39.6333,118.1833,48.99,49,100,4.47,CN,1613183065
dubai,25.2582,55.3047,62.6,88,0,3.44,AE,1613183065
maryborough,-25.5333,152.7,88.88,40,43,6.87,AU,1613182936
touros,-5.1989,-35.4608,78.8,83,40,4.61,BR,1613183066
porto de moz,-1.7483,-52.2383,75.63,95,100,4.03,BR,1613183066
lazaro cardenas,17.9583,-102.2,70.92,73,3,7.23,MX,1613183066
bay roberts,47.5999,-53.2648,30.0,88,100,5.99,CA,1613183068
portland,45.5234,-122.6762,27.0,74,90,24.16,US,1613183043
rosarito,32.3333,-117.0333,59.0,88,20,9.22,MX,1613183068
balabac,7.9868,117.0645,81.72,78,100,14.14,PH,1613183068
kilindoni,-7.9139,39.6668,81.88,78,100,12.44,TZ,1613183068
alghero,40.5589,8.3181,53.6,94,40,2.3,IT,1613183068
teeli,51.0333,90.2333,-14.51,83,0,0.43,RU,1613183068
sandwick,60.0,-1.25,37.4,52,90,24.16,GB,1613183068
kulhudhuffushi,6.6221,73.07,80.1,64,100,7.11,MV,1613183068
ishigaki,24.3448,124.1572,71.6,83,75,19.57,JP,1613183068
komsomolskiy,40.4272,71.7189,44.6,57,100,9.22,UZ,1613183068
talnakh,69.4865,88.3972,-21.48,86,100,1.95,RU,1613183069
baranain,42.8057,-1.6773,50.0,87,90,6.91,ES,1613183069
kavaratti,10.5669,72.642,80.92,63,70,5.59,IN,1613183069
lamar,33.6668,-95.5836,25.0,86,90,12.66,US,1613183069
nedjo,9.5046,35.5019,58.55,34,0,3.85,ET,1613183069
nishihara,26.1842,127.7558,73.4,68,75,12.66,JP,1613183069
singaraja,-8.112,115.0882,84.56,63,25,3.36,ID,1613183069
ust-omchug,61.15,149.6333,7.2,86,100,4.59,RU,1613183069
tuatapere,-46.1333,167.6833,73.0,54,73,4.0,NZ,1613183069
qaqortoq,60.7167,-46.0333,44.6,29,90,36.82,GL,1613183069
alekseyevsk,57.8406,108.3492,-14.22,86,93,3.87,RU,1613183069
faridpur,23.6,89.8333,66.2,94,40,4.41,BD,1613183070
gat,31.61,34.7642,53.01,100,0,2.17,IL,1613183044
vila,42.0304,-8.1588,44.01,94,100,3.0,PT,1613183070
longyearbyen,78.2186,15.6401,12.2,73,75,19.57,SJ,1613183070
kankon,15.0167,74.0167,71.6,68,20,3.44,IN,1613183070
dourbali,11.8091,15.8632,68.49,27,0,8.23,TD,1613183070
huanren,41.2647,125.3667,36.91,81,96,3.42,CN,1613183070
qasigiannguit,68.8193,-51.1922,8.6,78,75,3.0,GL,1613183071
puerto colombia,10.9878,-74.9547,78.8,83,0,11.5,CO,1613183071
goderich,43.7501,-81.7165,12.2,79,93,6.91,CA,1613182931
kulevcha,46.0303,29.9361,16.88,87,100,18.84,UA,1613183071
narsaq,60.9167,-46.05,44.6,29,90,36.82,GL,1613183071
bernay,49.1667,0.6667,24.01,75,0,5.01,FR,1613183071
vila velha,-20.3297,-40.2925,77.0,88,20,5.75,BR,1613183071
zapolyarnyy,69.4154,30.8136,1.4,85,90,5.75,RU,1613183071
makakilo city,21.3469,-158.0858,78.8,57,1,5.75,US,1613183071
vao,-22.6667,167.4833,79.03,75,3,7.25,NC,1613183072
lorengau,-2.0226,147.2712,84.04,76,98,5.88,PG,1613183072
kodiak,57.79,-152.4072,35.6,75,90,14.97,US,1613182787
kigorobya,1.6162,31.3089,73.26,54,98,2.04,UG,1613183072
adrar,20.5022,-10.0711,63.7,22,0,10.63,MR,1613183072
quba,41.3626,48.5152,45.99,55,100,1.3,AZ,1613183072
tezu,27.9167,96.1667,71.38,22,22,0.98,IN,1613183072
muros,42.7762,-9.0603,57.0,74,100,17.0,ES,1613183072
cockburn town,21.4612,-71.1419,75.2,83,40,17.27,TC,1613182902
kurtalan,37.9272,41.7028,37.4,93,0,5.75,TR,1613183073
anchorage,61.2181,-149.9003,24.8,54,1,5.84,US,1613183073
fare,-16.7,-151.0167,81.97,72,22,10.29,PF,1613183073
black diamond,47.3087,-122.0032,28.0,68,100,3.0,US,1613183073
ossora,59.2353,163.0719,1.27,83,0,12.41,RU,1613183073
skibbereen,51.55,-9.2667,41.0,93,90,33.38,IE,1613183073
the pas,53.8251,-101.2541,-29.2,75,1,1.57,CA,1613183073
pundaguitan,6.3711,126.1689,80.85,78,100,4.09,PH,1613183074
jimenez,28.3333,-105.4,60.8,17,40,6.91,MX,1613183074
baikunthpur,23.25,82.55,61.0,36,0,3.27,IN,1613183074
dukat,62.55,155.55,-9.74,86,1,4.45,RU,1613183074
ancud,-41.8697,-73.8203,55.99,76,0,9.22,CL,1613183074
nenjiang,49.1833,125.2167,14.5,89,58,11.01,CN,1613183074
grindavik,63.8424,-22.4338,41.0,75,75,41.43,IS,1613183075
tonstad,58.6626,6.7169,19.0,85,0,2.3,NO,1613183075
takoradi,4.8845,-1.7554,80.38,86,27,7.74,GH,1613183075
najran,17.4924,44.1277,53.6,47,0,2.06,SA,1613183076
jacmel,18.2342,-72.5347,78.8,65,4,16.11,HT,1613183076
carutapera,-1.195,-46.02,79.38,84,100,8.86,BR,1613183076
constitucion,-35.3333,-72.4167,58.87,88,42,6.8,CL,1613183076
el bagre,7.5927,-74.8086,76.89,86,58,0.65,CO,1613183077
ahuimanu,21.4447,-157.8378,78.8,65,40,9.22,US,1613183077
alice,27.7523,-98.0697,41.0,93,90,11.5,US,1613183077
sept-iles,50.2001,-66.3821,17.6,57,90,3.44,CA,1613182858
codrington,-38.2667,141.9667,66.02,54,2,10.63,AU,1613183078
puerto del rosario,28.5004,-13.8627,64.4,77,90,16.11,ES,1613183078
ayan,56.45,138.1667,16.36,95,100,7.96,RU,1613183079
sassandra,4.95,-6.0833,77.86,91,0,6.29,CI,1613183080
bilma,18.6853,12.9164,67.42,21,0,5.14,NE,1613183080
kokoda,-8.8785,147.7407,85.75,60,50,2.33,PG,1613183080
henties bay,-22.116,14.2845,70.0,89,51,5.01,NA,1613183080
santa helena,-2.2311,-45.3,74.95,95,100,2.71,BR,1613183080
tavda,58.0425,65.2726,-3.1,91,100,6.73,RU,1613183080
maceio,-9.6658,-35.7353,75.2,94,75,2.3,BR,1613183080
bafoulabe,13.8065,-10.8321,77.85,17,0,2.71,ML,1613183081
kalabo,-14.97,22.6814,66.38,90,81,4.34,ZM,1613183081
xingcheng,40.6167,120.7167,38.25,85,100,1.25,CN,1613183081
gravdal,68.1214,13.5031,32.32,90,99,16.28,NO,1613183081
gayny,60.3071,54.3241,-1.25,93,100,5.82,RU,1613183081
los llanos de aridane,28.6585,-17.9182,64.4,68,0,10.36,ES,1613183081
richards bay,-28.783,32.0377,74.21,92,95,2.91,ZA,1613183081
tiarei,-17.5333,-149.3333,82.4,65,75,18.41,PF,1613183082
shenjiamen,29.9576,122.298,52.77,93,43,9.13,CN,1613183082
guerrero negro,27.9769,-114.0611,59.81,77,43,14.05,MX,1613183082
mongu,-15.2484,23.1274,66.43,92,96,3.74,ZM,1613183082
anloga,5.7947,0.8973,82.4,89,40,10.36,GH,1613183082
wanning,18.8003,110.3967,68.4,65,0,5.17,CN,1613183082
caboolture,-27.0833,152.95,90.0,60,81,3.51,AU,1613183082
kapit,2.0167,112.9333,79.48,90,99,1.14,MY,1613183082
usinsk,65.9939,57.5281,-17.19,88,100,2.84,RU,1613183082
pangody,65.85,74.4859,-25.13,86,100,3.96,RU,1613183083
whitehorse,60.7161,-135.0538,-11.2,77,1,3.44,CA,1613183083
kristiansund,63.1115,7.732,32.0,47,23,11.5,NO,1613183083
yenagoa,4.9247,6.2642,78.19,86,100,2.57,NG,1613183083
coquimbo,-29.9533,-71.3436,62.6,82,0,5.75,CL,1613183083
aktas,49.7789,72.9608,21.2,79,90,2.73,KZ,1613183083
gizo,-8.103,156.8419,83.71,73,67,8.84,SB,1613183083
srednekolymsk,67.45,153.6833,-21.33,84,0,5.95,RU,1613183083
fairbanks,64.8378,-147.7164,5.0,78,1,1.19,US,1613183084
dakar,14.6937,-17.4441,64.4,88,0,11.5,SN,1613183084
lompoc,34.6391,-120.4579,53.6,82,1,16.11,US,1613183084
warri,5.5167,5.75,78.3,87,100,0.63,NG,1613183084
asilah,35.465,-6.0348,48.2,100,75,3.44,MA,1613183084
opuwo,-18.0607,13.84,63.3,81,100,5.23,NA,1613183084
raga,8.4596,25.678,66.18,28,2,2.04,SS,1613183084
cherskiy,68.75,161.3,-20.25,81,0,1.23,RU,1613183084
okhotsk,59.3833,143.3,15.89,92,100,4.07,RU,1613182955
waingapu,-9.6567,120.2641,84.45,69,27,5.46,ID,1613183084
zhanaozen,43.3,52.8,42.76,74,0,19.46,KZ,1613182870
mitchell,43.7094,-98.0298,-0.4,55,75,8.05,US,1613183085
fort nelson,58.8053,-122.7002,-4.0,77,1,2.3,CA,1613183085
dubbo,-32.25,148.6167,78.8,69,75,6.91,AU,1613183085
nadym,65.5333,72.5167,-21.42,87,99,2.48,RU,1613183085
abu dhabi,24.4667,54.3667,64.4,94,90,1.14,AE,1613182848
nakamura,32.9833,132.9333,58.69,81,99,8.9,JP,1613183085
la libertad,-2.2333,-80.9,77.31,81,100,5.41,EC,1613183085
westport,41.1415,-73.3579,28.4,31,90,6.91,US,1613183033
le pradet,43.1066,6.0172,46.4,93,90,4.61,FR,1613183085
dire,12.2833,-10.9667,76.3,19,0,1.14,ML,1613183086
beloha,-25.1667,45.05,75.06,75,98,12.39,MG,1613183086
